OBJECTID,LANDUSECODE,LANDUSEDESC,BASEELEV,HEIGHT,Revision,Priordraft,Area,Perimeter,ACREAGE,GlobalID,LASTUPDATE,LASTEDITOR,SHAPE_Length,SHAPE_Area
1857,MR-2,,,,, ,0,12665.6225833,102.31,{4A6B8E10-4D12-4135-9F17-C60EDFA2E387},2021/08/13 18:34:16+00,Jason.Herman1,12665.6227946935,4456523.32801302
1858,MR-2,,,, , ,0,5068.33226932,23.83,{F2E53130-AD92-43C1-9ABD-BA9129544AE3},2020/02/07 21:12:12+00,Payne.Ringling,6388.65546096003,1037896.02925435
1859,MR-2,,,, , ,0,4113.54194953,28.5,{84FEA137-EE57-4E95-AA55-9F8EB7A91270},2020/02/07 21:12:12+00,Payne.Ringling,5173.11704005556,1253515.18195804
1860,MR-1,,,, , ,0,10065.63963,107.77,{974682F7-7B5E-4494-8FED-24236DB2DB01},2020/02/07 21:12:12+00,Payne.Ringling,10067.0825197192,4720458.70617981
1861,SF-VL,,,, , ,0,2339.99980544,3.9,{7E2E78CB-8818-49CE-9E3F-AE857390C987},2020/02/07 21:12:12+00,Payne.Ringling,2339.99991317093,169999.982731343
1862,CC,,,, , ,0,3185.76073373,13.53,{7453198A-895D-4AA4-B97F-7B9D67A75C7B},2020/02/07 21:12:12+00,Payne.Ringling,3129.10328807699,589219.655882505
1863,MF-MOD,,,, , ,0,6118.98240313,21.71,{01C49ADD-A6ED-4563-BC37-B09B66F67306},2020/02/07 21:12:12+00,Payne.Ringling,6118.98125209739,945764.577325854
1864,CC,,,, , ,0,1226.35597581,1.47,{C2C46140-6737-4BD2-9C37-E410B62A8BBB},2020/02/07 21:12:12+00,Payne.Ringling,1226.35623023003,64013.5040845502
1865,CC,,,, , ,0,504.00378782,0.36,{8FC88BE7-1CE7-486C-9D24-2889682E1FE0},2020/02/07 21:12:12+00,Payne.Ringling,504.003435985516,15839.9799471116
1866,CC,,,, , ,0,2960.97300173,8.27,{0D37A250-9E0A-49DF-991F-118533177383},2020/02/07 21:12:12+00,Payne.Ringling,2960.97258489417,360363.282624441
1867,CC,,,, , ,0,1282.56043342,2.32,{888D32AA-578B-4CF1-9F9A-C22000F3E171},2020/02/07 21:12:12+00,Payne.Ringling,1282.56074185098,101178.734545134
1868,CC,,,, , ,0,1883.82123584,4.25,{00DDE53B-2763-4B32-83FC-D8BD8A9E08A0},2020/02/07 21:12:12+00,Payne.Ringling,1883.82107679335,185344.581347082
1869,CC,,,, , ,0,4196.30709565,24.57,{E215D170-3667-41CF-9560-9797997B39C0},2020/02/07 21:12:12+00,Payne.Ringling,4196.30733678594,1070205.55919035
1870,CC,,,, , ,0,951.25,1.04,{2545A04F-8C82-43A9-B9E9-6069D6C1440D},2020/02/07 21:12:12+00,Payne.Ringling,951.24940983206,45358.405179893
1871,SF-VL,,,, , ,0,288.40841131,0.1,{AF87766B-F0A0-4FAF-86D8-4181F98D2B84},2020/02/07 21:12:12+00,Payne.Ringling,288.408675072642,4399.51781414098
1872,MR-2,,,, , ,0,884.01575347,0.54,{FF1DABED-966E-4D85-AD6F-FC58A0A9176A},2020/02/07 21:12:12+00,Payne.Ringling,884.016504826625,23460.5288990516
1873,SF-VL,,,, , ,0,1241.82293189,2.03,{78B13267-3909-4833-B0AD-E2FEE61BC77F},2020/02/07 21:12:12+00,Payne.Ringling,1241.82351304665,88227.6980631025
1874,MF-MOD,,,, , ,0,1900.74140155,4.56,{E178FA04-71F0-4CED-B394-3113C5DF43C1},2020/02/07 21:12:12+00,Payne.Ringling,1900.74127751859,198431.141732123
1875,SF-LOW,,,, , ,0,589.13817298,0.48,{FB3CEF0B-F2D6-42BC-B17C-7BA6A74FA412},2020/02/07 21:12:12+00,Payne.Ringling,589.138237853498,20827.6464756774
1876,SF-VL,,,, , ,0,1047.40905152,1.47,{F9534541-1713-4E54-A969-47CDBED947BC},2020/02/07 21:12:12+00,Payne.Ringling,1047.40865583364,63958.8546466178
1877,CC,,,, , ,0,762.35121601,0.68,{CB10FB44-0710-458F-8D1B-434F6AB0E175},2020/02/07 21:12:12+00,Payne.Ringling,762.351412735569,29829.7915583451
1878,CC,,,, , ,0,1883.12772485,2.26,{34C2CCD2-8645-4366-A422-735EF425A2B7},2020/02/07 21:12:12+00,Payne.Ringling,1883.12747878862,98354.342963723
1879,CC,,,, , ,0,1464.26156873,1.57,{2A9B786C-3419-4EDA-8075-26EBCFF39D43},2020/02/07 21:12:12+00,Payne.Ringling,1464.26081854964,68241.6312126227
1880,SF-LOW,,,, , ,0,1634.7141078,1.77,{457CBD71-8B7C-41D6-B539-7E99196FB7B9},2020/02/07 21:12:12+00,Payne.Ringling,1634.7140673082,77195.3652320563
1881,SF-LOW,,,, , ,0,1150.08854338,1.89,{517F84E6-CCFC-44D5-A99B-198698FB3491},2020/02/07 21:12:12+00,Payne.Ringling,1150.08845950723,82303.2205090901
1882,SF-LOW,,,, , ,0,1147.36904382,1.88,{C16ACF8B-48FB-4287-AF2C-90D60DCBB3D0},2020/02/07 21:12:12+00,Payne.Ringling,1147.36910498608,81932.6764881378
1883,SF-VL,,,, , ,0,1423.20596062,1.94,{D83C2974-5328-497B-841D-D45418E3BE80},2020/02/07 21:12:12+00,Payne.Ringling,1423.20578996727,84466.953791046
1884,SF-VL,,,, , ,0,5754.20243839,9.2,{943E223E-B6C8-4CFE-8663-C66F2BCA23E3},2020/02/07 21:12:12+00,Payne.Ringling,5754.20202011457,400559.090715786
1885,SF-LOW,,,, , ,0,1729.07778115,3.68,{B997939C-87E6-42E2-A119-15A608237D0A},2020/02/07 21:12:12+00,Payne.Ringling,1729.07727469746,160245.909559366
1886,SF-VL,,,, , ,0,1632.64041438,3.24,{24E99CE5-08CF-4BF3-8154-447F16184601},2020/02/07 21:12:12+00,Payne.Ringling,1632.64004877437,141323.454625739
1887,SF-VL,,,, , ,0,1634.94094481,3.72,{1E112090-ABAD-470D-B82E-D12327EC25D8},2020/02/07 21:12:12+00,Payne.Ringling,1634.94052296847,162084.474657093
1888,SF-VL,,,, , ,0,3399.64749546,9.51,{DCD3696F-8865-4A33-9C18-99177E916E58},2020/02/07 21:12:12+00,Payne.Ringling,3399.6475662983,414448.366486464
1889,SF-LOW,,,, , ,0,1073.23908873,1.65,{1CD49D5A-8130-4ED9-B029-9F0101ED08BE},2020/02/07 21:12:12+00,Payne.Ringling,1073.23899488236,71987.6160382241
1890,SF-LOW,,,, , ,0,1073.20745721,1.65,{BFD6D30B-3EF7-4BDE-A95C-E320FF4C91A6},2020/02/07 21:12:12+00,Payne.Ringling,1073.20711528922,71984.112289355
1891,SF-LOW,,,, , ,0,1726.01260559,3.68,{0DEC1531-4935-49B8-ADBE-1DFDCDDABC1E},2020/02/07 21:12:12+00,Payne.Ringling,1726.01238853117,160084.227581813
1892,MF-MOD,,,, , ,0,6206.0862656,43.34,{8CA61BF4-5644-4BA5-8B74-8BFC3464274E},2020/02/07 21:12:12+00,Payne.Ringling,6206.08727373348,1887842.45834567
1893,SF-VL,,,, , ,0,721.46658594,0.5,{035DF12A-8E70-4DAA-B732-6AB0DEE99E87},2020/02/07 21:12:12+00,Payne.Ringling,721.466343246815,21853.7772064906
1894,SF-VL,,,, , ,0,361.77861235,0.13,{B9222D75-BDA7-40BC-AC9B-DA7AEEA6A1E5},2020/02/07 21:12:12+00,Payne.Ringling,361.778847846405,5603.62968832819
1895,SF-VL,,,, , ,0,3001.16890551,7.96,{15E70330-B282-449F-A77D-CFE2E71B7BA7},2020/02/07 21:12:12+00,Payne.Ringling,3001.1691375058,346582.984133094
1896,SF-VL,,,, , ,0,2495.24323411,4.45,{955F9D65-03B7-4375-B459-F28EC3609B72},2020/02/07 21:12:12+00,Payne.Ringling,2495.24336115836,193753.701526772
1897,CC,,,, , ,0,3476.63176043,14.35,{E7D09B29-4DF3-4982-B1BA-8BAF39C3E3B5},2020/02/07 21:12:12+00,Payne.Ringling,3476.6317498922,625121.99118697
1898,MF-MOD,,,, , ,0,4244.33161414,13.11,{2BA044CF-85A7-452E-B8F8-6387A17837EB},2020/02/07 21:12:12+00,Payne.Ringling,4244.33117773719,570965.394164702
1899,MF-MOD,,,,Yes, ,0,3167.51182484,10.57,{CFBB78B2-A449-4859-B058-83D3299B5C94},2020/02/07 21:12:12+00,Payne.Ringling,3167.5117263003,460539.967779223
1900,MF-MOD,,,, , ,0,3143.80694506,7.65,{23D14B0E-0478-4B5A-8EEE-E88DE8232281},2020/02/07 21:12:12+00,Payne.Ringling,3143.80657618017,333190.7027974
1901,MF-MOD,,,, , ,0,2479.5441123,5.97,{9EB3ABCD-F2CC-4F0D-96F7-1F0C5E1B5442},2020/02/07 21:12:12+00,Payne.Ringling,2479.54409119869,260125.888907786
1902,MF-MOD,,,, , ,0,1688.02973661,2.18,{BA77388F-D31A-45E3-AF89-EBB46FEFC359},2020/02/07 21:12:12+00,Payne.Ringling,1688.02940003528,94827.5258514399
1903,OPEN,,,, , ,0,1248.80666571,0.71,{5E1CC481-13EB-4E74-8A59-943C62D5C782},2020/02/07 21:12:12+00,Payne.Ringling,1248.80655663531,30833.631974367
1904,CC,,,, , ,0,715.16373617,0.57,{AB299A28-4FAA-4DEB-9484-9C563DDA3793},2020/02/07 21:12:12+00,Payne.Ringling,715.164246913436,24980.5274872381
